id,objectiveId,mentionId,mentionHints,sort,textKo,textEn
sqa_034_d,obj_s034_d,combat,현상금|출구|사냥꾼,1,출구를 지키는 건 현상금 사냥꾼이야. 좌표는 베일이 넘겼고 너는 길을 여는 칸이야.,A bounty hunter holds the exit. Veil passed the fix. Your cell is to open the road.
sqa_034_e,obj_s034_e,npc_cpt_sq_orren_bask,오렌|식별 신호|보고,1,오렌한테 보고할 내용은 지워진 식별 신호야. 솔라 민간 정박을 지운 버릇이랑 같다고.,What Orren wants is the wiped callsign. Same habit as the Solar civilian-berth erase.
sqa_035_a,obj_s035_a,npc_cpt_sq_kett_mion,켓|대조|장부|아군,1,켓이 대조하는 건 아군처럼 찍힌 식별 신호야. 장부에 찍혔다고 믿지 마.,Kett is matching a callsign stamped like an ally. Do not trust the ledger stamp.
sqa_035_b,obj_s035_b,travel,요새|필드,1,대조가 끝나면 요새야. 닐라가 매듭은 거기서 짓겠다고 했어.,After the match the fort. Nila said she would tie it there.
sqa_035_c,obj_s035_c,npc_cpt_sq_tolin_grave,톨린|위장|교신,1,톨린의 친한 척은 위장이야. 그 말투가 끊기면 본모습이 나와.,Tolin's friendly talk is a mask. When that voice drops the real one shows.
sqa_035_d,obj_s035_d,combat,톨린|순양|엄호,1,톨린을 엄호하는 순양함이 가면의 몸이야. 쓰러뜨려야 증언 칸이 열려.,The cruiser covering Tolin is the body of the mask. Drop it and the testimony cell opens.
sqa_035_e,obj_s035_e,npc_cpt_sq_nila_shol,닐라|증언|요새,1,닐라는 국경에서 본 것만 증언해. 코어 항로 쪽 이름은 장부에만 남았대.,Nila testifies only what she saw on the border. The Core Route name stayed on the ledger.
sqa_036_a,obj_s036_a,npc_cpt_sq_ivy_kenn,아이비|수수료|다리,1,아이비는 세 줄 수수료만 알아. 누가 시켰는지는 안 물었고 원본은 놀 쪽에 있어.,Ivy only knows the three-line fee. She did not ask who paid. Noll holds the original.
sqa_036_b,obj_s036_b,npc_cpt_sq_noll_pass,놀|장부|보낸 자,1,놀이 보여 준 세 줄 말이야. 금액은 있는데 보낸 자가 없지. 그게 이 칸의 전부야.,The three lines Noll showed. The sums are there. The sender is not. That is this cell.
sqa_036_c,obj_s036_c,combat,장부|전투기|호위,1,장부를 노리는 전투기는 빈 칸을 지키려는 배야. 치워야 출처가 보여.,The fighter hunting the ledger is guarding the blank. Clear it and the source shows.
sqa_036_d,obj_s036_d,npc_cpt_sq_noll_pass,놀|계좌|캠프,1,출처 없는 자금의 끝은 캠프 쪽 계좌야. 놀은 이름 없이 그 방향만 남겨.,The sourceless money ends on a camp account. Noll leaves the direction and no name.
sqa_037_a,obj_s037_a,npc_cpt_sq_kade_rim,케이드|상자|위치,1,케이드가 준 건 상자 위치야. 뚜껑은 열지 말고 레아한테 일련번호만 넘겨.,Kade gave the crate slot. Do not open the lid. Pass the serial to Rhea.
sqa_037_b,obj_s037_b,npc_cpt_sq_rhea_vin,레아|일련번호|주파수,1,레아가 맞춘 일련번호는 아크코어 주파수 조각이야. 요새 호위대 주파수는 아니야.,The serial Rhea matched is an ArcCore-band shard. Not a fortress-escort band.
sqa_037_c,obj_s037_c,combat,상자|호위|전투기,1,상자를 지키는 호위가 사본 칸을 잠그고 있어. 격파한 뒤에 레아가 넘겨.,The crate escort locks the copy cell. After it falls Rhea hands it over.
sqa_037_d,obj_s037_d,npc_cpt_sq_rhea_vin,레아|사본|캠프,1,레아 사본의 경로는 캠프까지 이어져. 맞은 건 주파수뿐 심장까지는 아니야.,Rhea's copy path continues to Camp. The match is the band not a heart.
sqa_038_a,obj_s038_a,npc_cpt_sq_cal_ridge,칼|릿지|술집|정박,1,칼 릿지 옆자리가 비어 있어. 빈 정박 소문은 술자리 말로만 두고 세지 마.,The seat beside Cal is empty. Let the empty-berth rumor stay in the drink. Do not count it.
sqa_038_b,obj_s038_b,npc_cpt_sq_lira_mon,리라|관문|고향,1,리라는 관문 기록을 맡고 있어. 고향 얘기는 서로 묻지 않는 자리야.,Lira keeps the gate record. Home is the thing no one asks here.
sqa_038_c,obj_s038_c,npc_cpt_sq_lira_mon,리라|아우라|하루,1,아우라 관문의 하루를 정리하는 칸이야. 출정 이야기는 아직 남겨 둬.,This cell settles a day at the Aura gate. Leave the sortie talk for later.
sqa_038_d,obj_s038_d,npc_cpt_sq_lira_mon,리라|관문|고향,1,리라가 관문을 닫아. 돌아올 곳이 있다면 그게 고향이라는 말만 단정하게 남겨.,Lira closes the gate. The only firm line left is this: if a place waits for you that is home.
