attendantId,planetId,displayNameKo,displayNameEn,taglineKo,taglineEn,portraitImageAssetKey,minBarLevel,rosterWeight,dialogSetId,animSetId,songId,enabled
ta_att_036,synth_014_p,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_01,1
ta_att_037,synth_015_p,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,11,dset_whisper,aset_soft,song_02,1
ta_att_038,synth_016_p,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,11,dset_echo,aset_soft,song_03,1
ta_att_039,synth_017_p,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,11,dset_ember,aset_soft,song_04,1
ta_att_040,synth_018_p,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,11,dset_echo,aset_soft,song_05,1
ta_att_041,synth_019_p,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,11,dset_calm,aset_soft,song_01,1
ta_att_042,synth_020_p,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,11,dset_cheerful,aset_soft,song_02,1
ta_att_043,synth_021_p,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,11,dset_jazz,aset_soft,song_03,1
ta_att_044,synth_022_p,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,11,dset_star,aset_soft,song_04,1
ta_att_045,synth_023_p,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_05,1
ta_att_046,synth_024_p,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,11,dset_whisper,aset_soft,song_01,1
ta_att_047,synth_025_p,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,11,dset_echo,aset_soft,song_02,1
ta_att_048,synth_026_p,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,11,dset_ember,aset_soft,song_03,1
ta_att_049,synth_027_p,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,11,dset_echo,aset_soft,song_04,1
ta_att_050,synth_028_p,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,11,dset_calm,aset_soft,song_05,1
ta_att_051,synth_029_p,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,11,dset_cheerful,aset_soft,song_01,1
ta_att_052,synth_030_p,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,11,dset_jazz,aset_soft,song_02,1
ta_att_053,synth_031_p,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,11,dset_star,aset_soft,song_03,1
ta_att_054,synth_032_p,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_04,1
ta_att_055,synth_033_p,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,11,dset_whisper,aset_soft,song_05,1
ta_att_056,synth_034_p,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,11,dset_echo,aset_soft,song_01,1
ta_att_057,synth_035_p,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,11,dset_ember,aset_soft,song_02,1
ta_att_058,synth_036_p,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,11,dset_echo,aset_soft,song_03,1
ta_att_059,synth_037_p,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,11,dset_calm,aset_soft,song_04,1
ta_att_060,synth_038_p,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,11,dset_cheerful,aset_soft,song_05,1
ta_att_061,synth_039_p,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,11,dset_jazz,aset_soft,song_01,1
ta_att_062,synth_040_p,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,11,dset_star,aset_soft,song_02,1
ta_att_063,synth_041_p,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_03,1
ta_att_064,synth_042_p,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,11,dset_whisper,aset_soft,song_04,1
ta_att_065,synth_043_p,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,11,dset_echo,aset_soft,song_05,1
ta_att_066,synth_044_p,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,11,dset_ember,aset_soft,song_01,1
ta_att_067,synth_045_p,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,11,dset_echo,aset_soft,song_02,1
ta_att_068,synth_046_p,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,11,dset_calm,aset_soft,song_03,1
ta_att_069,synth_047_p,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,11,dset_cheerful,aset_soft,song_04,1
ta_att_070,synth_048_p,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,11,dset_jazz,aset_soft,song_05,1
ta_att_071,synth_049_p,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,11,dset_star,aset_soft,song_01,1
ta_att_072,synth_050_p,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_02,1
ta_att_073,synth_051_p,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,11,dset_whisper,aset_soft,song_03,1
ta_att_074,synth_052_p,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,11,dset_echo,aset_soft,song_04,1
ta_att_075,synth_053_p,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,11,dset_ember,aset_soft,song_05,1
ta_att_076,synth_054_p,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,11,dset_echo,aset_soft,song_01,1
ta_att_077,synth_055_p,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,11,dset_calm,aset_soft,song_02,1
ta_att_078,synth_056_p,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,11,dset_cheerful,aset_soft,song_03,1
ta_att_079,synth_057_p,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,11,dset_jazz,aset_soft,song_04,1
ta_att_080,synth_058_p,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,11,dset_star,aset_soft,song_05,1
ta_att_081,synth_059_p,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_01,1
ta_att_082,synth_060_p,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,11,dset_whisper,aset_soft,song_02,1
ta_att_083,synth_061_p,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,11,dset_echo,aset_soft,song_03,1
ta_att_084,synth_062_p,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,11,dset_ember,aset_soft,song_04,1
ta_att_085,synth_063_p,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,11,dset_echo,aset_soft,song_05,1
ta_att_086,synth_064_p,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,11,dset_calm,aset_soft,song_01,1
ta_att_087,synth_065_p,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,11,dset_cheerful,aset_soft,song_02,1
ta_att_088,synth_066_p,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,11,dset_jazz,aset_soft,song_03,1
ta_att_089,synth_067_p,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,11,dset_star,aset_soft,song_04,1
ta_att_090,synth_068_p,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_05,1
ta_att_091,synth_069_p,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,11,dset_whisper,aset_soft,song_01,1
ta_att_092,synth_070_p,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,11,dset_echo,aset_soft,song_02,1
ta_att_093,synth_071_p,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,11,dset_ember,aset_soft,song_03,1
ta_att_094,synth_072_p,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,11,dset_echo,aset_soft,song_04,1
ta_att_095,synth_073_p,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,11,dset_calm,aset_soft,song_05,1
ta_att_096,synth_074_p,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,11,dset_cheerful,aset_soft,song_01,1
ta_att_097,synth_075_p,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,11,dset_jazz,aset_soft,song_02,1
ta_att_098,synth_076_p,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,11,dset_star,aset_soft,song_03,1
ta_att_099,synth_077_p,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_04,1
ta_att_100,synth_078_p,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,11,dset_whisper,aset_soft,song_05,1
ta_att_101,synth_079_p,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,11,dset_echo,aset_soft,song_01,1
ta_att_102,synth_706_p,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,11,dset_ember,aset_soft,song_02,1
ta_att_103,synth_732_p,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,11,dset_echo,aset_soft,song_03,1
