id,title,description,type,offerCaptainId,offerPlanetId,levelRequired,rewardCredits,rewardExp,rewardItemsPipe,rewardSkillPointBonus,prerequisiteIdsPipe,nextMissionId,dc,clearDialogSceneId,clearNpcCaptainId,requiresClearContact,title_en,description_en,timeLimitHours
sandbox_002,외곽 항로 점검,마르크 세인이 베가 접속로로 향하는 보급품을 확인해 달라고 했다.,delivery,npc_cpt_arcadia_lane_02,arcadia_prime,1,850,180,food,0,,,8,,,,Outer Route Check,Mark Sain asked you to verify supplies heading to the Vega access route.,72
sandbox_003,항만 질서 유지,이사 벤트가 솔라 항구 주변 밀수 호위선을 격퇴해 달라고 요청했다.,combat,npc_cpt_solar_guard_01,solar_station,5,1200,300,weapon,0,,,12,,,,Harbor Order,Isa Vent asked you to repel smuggler escorts near Sola Port.,24
sandbox_004,고가 화물 인계,토닉 레일이 기술 부품을 미네르바 쪽 검사소로 옮겨 달라고 했다.,delivery,npc_cpt_solar_guard_02,solar_station,2,1300,260,tech,0,,,10,,,,High-Value Cargo Handoff,Tonic Rail asked you to move tech parts to a Minerva inspection post.,72
sandbox_005,광산 통로 경비,셀라 모른이 미네르바 광산 진입로에 붙은 해적 전투기를 처리해 달라고 했다.,combat,npc_cpt_sela,minerva_deep,7,1500,360,minerals,0,,,12,,,,Mine Tunnel Guard,Cela Morn asked you to clear pirates on the Minerva mine approach.,24
sandbox_006,정제광 샘플 배송,미아 벨로가 미네르바의 정제광 샘플을 뉴에덴 프라임으로 보내 달라고 부탁했다.,delivery,npc_cpt_bar_ret_02,minerva_deep,3,1600,320,ore_mineral_1,0,,,10,,,,Refined Ore Sample,Mia Bello asked you to send refined ore samples to New Eden Prime.,72
sandbox_007,베가 급습 차단,하르만 돌이 베가 외곽의 소형 해적 편대를 선제 차단해 달라고 했다.,combat,npc_cpt_vega_watch_01,vega_base,3,1800,440,weapon,0,,,13,,,,Vega Raid Block,Herman Dol asked you to preempt a small pirate squad on Vega outskirts.,24
sandbox_008,민간선 예비 식량,세린 코프가 베가 민간 호위선에 식량 예비분을 보내 달라고 했다.,delivery,npc_cpt_vega_watch_02,vega_base,4,1750,380,food,0,,,10,,,,Civilian Reserve Food,Serin Koff asked you to send reserve food to Vega civilian escorts.,72
sandbox_009,암시장 꼬리표,라나 벨이 뉴에덴 프라임 정비독을 맴도는 해적 순양함 추적을 의뢰했다.,combat,npc_cpt_eden_09,eden_city,12,2400,620,contraband,0,,,14,,,,Black Market Tail,Lana Bel contracted tracking a cruiser loitering at New Eden Prime docks.,24
sandbox_010,중립 항로 부품,뉴에덴 블루 07이 중립 항로 방어선에 기술 부품을 전달해 달라고 했다.,delivery,npc_cpt_neweden_blue_07,eden_city,5,2300,560,tech,0,,,11,,,,Neutral Route Parts,New Eden Blue 07 asked you to deliver tech parts to neutral route defenses.,72
sandbox_011,아이언 잔해 사냥,오멜 카르가 아이언 잔해 지대에 숨어든 순양함을 제거해 달라고 했다.,combat,npc_cpt_eden_10,eden_city,12,2800,760,weapon,0,,,14,,,,Iron Wreck Hunt,Omel Kar asked you to remove a cruiser hiding in the Iron Remnant zone.,24
sandbox_012,고철 길드 계약,세라 미온이 아이언 크로스 레므난트의 회수품 명세를 오메가 스테이션 허브로 옮겨 달라고 했다.,delivery,npc_cpt_bar_ret_04,iron_remnant,6,2700,700,minerals,0,,,12,,,,Scrap Guild Contract,Sera Mion asked you to move salvage manifests to Omega Station Hub.,72
sandbox_013,드라코 관측 보정,벡터-7이 드라코 성운의 이상 신호 근처 적 함선을 격파해 달라고 했다.,combat,npc_cpt_vector,draco_haven,9,3300,900,tech,0,,,15,,,,Draco Survey Fix,Vector-7 asked you to destroy hostiles near an anomaly signal in Draco Nebula.,24
sandbox_014,성운 연구 시료,타드 레인이 드라코 연구 시료를 오메가 스테이션 허브로 운송해 달라고 했다.,delivery,npc_cpt_bar_ret_03,draco_haven,7,3100,840,luxury,0,,,12,,,,Nebula Research Sample,Tad Rain asked you to transport research samples to Omega Station Hub.,72
sandbox_015,오메가 회항단 호출,린 켄달이 오메가 주변 통행세를 요구하는 해적 순양함 처리를 의뢰했다.,combat,npc_cpt_ai_clan_neutral_01,omega_hub,37,3800,1040,weapon,0,,,15,,,,Omega Convoy Call,Lyndall Kendall asked you to handle a cruiser demanding tolls near Omega.,24
sandbox_016,교차항 물자 정리,린 켄달이 오메가 스테이션 허브에서 헬리오스 코어로 식량과 기술 물자를 보내 달라고 했다.,delivery,npc_cpt_ai_clan_neutral_01,omega_hub,8,3600,980,food,0,,,12,,,,Cross-hub Supply,Lyndall Kendall asked you to send food and tech from Omega Station Hub to Helios Core.,72
sandbox_017,태양권 접근 차단,벡터-7이 헬리오스 태양권에 접근한 무장선을 제거해 달라고 했다.,combat,npc_cpt_vector,helios_core,31,4500,1250,tech,0,,,16,,,,Solar Belt Intercept,Vector-7 asked you to remove an armed ship entering the Helios solar belt.,24
sandbox_018,에너지 코일 운송,아델린 루크가 헬리오스 코일을 시리우스 변경으로 보내 달라고 했다.,delivery,npc_cpt_ai_clan_safe_01,solar_station,9,4300,1180,tech,0,,,13,,,,Energy Coil Transport,Adeline Luke asked you to send Helios coils toward Sirius Border.,72
sandbox_019,시리우스 변경 사냥,젝스 타르가 변경 지대의 현상금 사냥꾼을 역추적해 달라고 했다.,combat,npc_cpt_jex,sirius_border,18,6200,1700,weapon,0,,,17,,,,Sirius Border Hunt,Jex Tar asked you to backtrace a bounty hunter in the border zone.,24
sandbox_020,타이탄 기록 봉인,타드 레인이 타이탄 게이트 유적 기록판을 페르세우스 메모리얼로 옮겨 달라고 했다.,delivery,npc_cpt_bar_ret_03,titan_ruins,10,6000,1600,luxury,0,,,14,,,,Titan Record Seal,Tad Rain asked you to move Titan Gate Ruins plates to Perseus Memorial.,72
sandbox_021,페르세우스 추모 경계,세라 미온이 추모 항로를 위협하는 현상금 사냥꾼을 처리해 달라고 했다.,combat,npc_cpt_bar_ret_04,perseus_memorial,21,7200,2050,weapon,0,,,17,,,,Perseus Memorial Guard,Sera Mion asked you to stop a bounty hunter threatening the memorial route.,24
sandbox_022,경계선 보급 계약,젝스 타르가 시리우스 보더에서 크림슨 경계 전초로 무기류를 운송해 달라고 했다.,delivery,npc_cpt_jex,sirius_border,11,7000,1950,weapon,0,,,14,,,,Border Supply Contract,Jex Tar asked you to haul weapons from Sirius Border to Crimson Outpost.,72
sandbox_023,크림슨 첫 현상금,모라 섀이어가 크림슨 구역 베이스 주변에서 배신한 현상금 사냥꾼을 제거하라고 했다.,combat,npc_cpt_ai_clan_pvp_01,crimson_base,25,8500,2450,contraband,0,,,18,,,,Crimson First Bounty,Mora Sayer ordered elimination of a traitor bounty hunter near Crimson Zone Base.,24
sandbox_024,섀도우 암거래 품목,모라 섀이어가 금지 물품 한 묶음을 섀도우 넥서스 마켓으로 옮기라고 했다.,delivery,npc_cpt_ai_clan_pvp_01,crimson_base,12,8200,2300,contraband,0,,,15,,,,Shadow Contraband Lot,Mora Sayer asked you to move contraband to Shadow Nexus Market.,72
sandbox_025,다크 리프트 표식,크레쉬 박이 다크 리프트에 숨은 현상금 사냥꾼을 잡아오라고 했다.,combat,npc_cpt_kresh,dark_haven,48,9800,2850,weapon,0,,,18,,,,Dark Lift Mark,Kresh Park asked you to capture a bounty hunter hiding at Dark Lift.,24
sandbox_026,혈장 보급선,세라 미온이 블러드 필드 스테이션으로 의료 보급품을 우회 배송해 달라고 했다.,delivery,npc_cpt_bar_ret_04,blood_station,13,9300,2650,food,0,,,15,,,,Bloodfield Med Supply,Sera Mion asked you to reroute medical supplies to Blood Field Station.,72
sandbox_027,섀도우 추적자,모라 섀이어가 섀도우 넥서스에 출몰한 추적자를 제거하라고 했다.,combat,npc_cpt_ai_clan_pvp_01,shadow_market,44,11200,3300,contraband,0,,,19,,,,Shadow Stalker,Mora Sayer ordered removal of a stalker at Shadow Nexus.,24
sandbox_028,어비스 관문 예열,린 켄달이 어비스 관문으로 향하는 예비 기술 부품을 확보해 달라고 했다.,delivery,npc_cpt_ai_clan_neutral_01,omega_hub,14,10800,3100,tech,0,,,16,,,,Abyss Gate Warmup,Lyndall Kendall asked you to secure spare tech parts bound for Abyss Gate.,72
sandbox_029,나이트폴 적색 계약,모라 섀이어가 나이트폴 시타델 근처 현상금 사냥꾼을 처리하라고 명령했다.,combat,npc_cpt_ai_clan_pvp_01,nightfall_citadel,40,13000,3900,weapon,1,,,20,,,,Nightfall Red Contract,Mora Sayer ordered a bounty hunter cleared near Nightfall Citadel.,24
sandbox_030,코어 전초 보급,아델린 루크가 아크파이어 코어 진입 전초로 고급 기술 부품을 보내 달라고 했다.,delivery,npc_cpt_ai_clan_safe_01,solar_station,15,12500,3600,tech,1,,,17,,,,Core Outpost Supply,Adeline Luke asked you to send advanced tech parts to the Arcfire Core outpost.,72
sandbox_031,연방 순항단 호송,미레유 보스(연방 순항대)가 솔라 항구로 군수 물자 호송을 의뢰했다.,delivery,npc_cpt_mireille,solar_station,6,2900,780,weapon,0,,,13,,,,Federation Convoy Escort,Boss Mireille (Federation Patrol) requested a military supply run to Sola Port.,72
sandbox_032,광물 호송단 경비,셀라 모른(미네르바 광물 호송단)이 채굴 통로의 해적 전투기 제거를 요청했다.,combat,npc_cpt_sela,minerva_deep,7,1900,480,minerals,0,,,12,,,,Mineral Convoy Guard,Cela Morn (Minerva Mineral Convoy) asked you to clear pirates on the mining corridor.,24
sandbox_033,회항단 중계 물자,타드 레인(오메가 중립 회항단)이 교차항로 예비 식량을 오메가 허브로 운반해 달라고 했다.,delivery,npc_cpt_bar_ret_03,omega_hub,7,3400,920,food,0,,,12,,,,Convoy Relay Supply,Tad Rain (Omega Neutral Circuit) asked you to haul reserve food to Omega Hub.,72
sandbox_034,암흑으로 진입,"요새 정보반의 오렌 바스크가 캠프 방향에서 식별 신호를 지운 배를 포착했다. 왜곡 구역까지 쫓아가 확인하면, 아르카디아 살인사건 당시 솔라 항구에서 기록을 지우던 수법과 똑같다. 같은 자가 국경까지 왔다는 뜻이다.",explore,npc_cpt_sq_orren_bask,synth_078_p,15,3200,900,,0,,,14,,,,Into the Dark,At the fort Orren points a wiped callsign toward Camp. In the warp zone the habit matches the Solar civilian-berth concealment.,0
sandbox_035,이중인격자,"아우라 국경의 보급 장부에서 물자가 새고 있다. 빼돌린 배는 아군 식별 신호를 달고 있었다. 켓 미온이 대조한 장부를 들고 요새로 향하면, 아군 행세를 하던 자의 가면이 벗겨진다.",explore,npc_cpt_sq_nila_shol,synth_052_p,5,2200,600,,0,,,13,,,,The Double,Supply leaks from the Aura ledger. Do not trust a report stamped friendly. Match it at the fort and the mask drops.,0
sandbox_036,부의근원,"코어 항로의 장부 세 줄에 금액만 있고 보낸 자가 없다. 수수료는 이미 누군가 챙겼지만 이름은 어디에도 남지 않았다. 장부를 노리는 호위를 걷어내면, 캠프 방향의 소속 없는 계좌 하나만 남는다.",explore,npc_cpt_sq_noll_pass,synth_070_p,9,3000,800,,0,,,13,,,,Source of Wealth,Three Core Route lines have no source. The fee was taken and no name was kept. After the escort only a flagless account toward Camp remains.,0
sandbox_037,코어의 파편,크림슨이 이미 손댄 상자 하나가 코어 항로에 남아 있다. 요새 호위대가 쓰지 않는 아크코어 주파수를 달고 있다. 상자가 지나온 경로를 사본으로 떠 보면 그 끝은 캠프 베이스로 이어진다.,explore,npc_cpt_sq_rhea_vin,synth_070_p,9,2800,760,,0,,,12,,,,Core Fragment,A Crimson-touched crate on the route. An ArcCore band unlike the fortress escort. The copy's path continues toward Camp.,0
sandbox_038,마음의 고향,"오늘은 출격도 임무도 없다. 아우라 국경의 술집에서 칼 릿지와 리라 몬 곁에 잠시 앉는다. 솔라의 빈 정박 자리 소문은 술자리 이야기로 흘려보내고, 하루는 여기서 접는다.",explore,npc_cpt_sq_lira_mon,synth_052_p,1,500,100,,0,,,8,,,,Home of the Heart,Empty the day at the Aura gate. The empty-berth rumor at Solar stays in speech only. Home is this door.,0
tq_del_01,긴급 식량 배달,바 게시판 — 인근 거점으로 식량을 운반하라.,delivery,,,1,900,220,food,0,,,8,,,,Urgent Food Run,Bar board — haul food packs to a nearby hub.,72
tq_del_02,기술 부품 특송,바 게시판 — 기술 부품을 인접 성계로 배달하라.,delivery,,,1,950,240,tech,0,,,8,,,,Tech Courier Run,Bar board — deliver tech parts to a linked system.,72
tq_del_03,광물 샘플 운송,바 게시판 — 원자재 광물 샘플을 인계하라.,delivery,,,1,1000,260,minerals,0,,,9,,,,Mineral Sample Haul,Bar board — hand off raw mineral samples.,72
tq_del_04,무기 물자 호송,바 게시판 — 무기 물자를 인근 전초로 보내라.,delivery,,,2,1100,280,weapon,0,,,9,,,,Arms Shipment,Bar board — send weapons to a nearby outpost.,72
tq_del_05,민간 보급 계약,바 게시판 — 식량 예비분을 연결 항로로 운반하라.,delivery,,,2,1150,300,food,0,,,9,,,,Civilian Supply Contract,Bar board — move reserve food along a linked route.,72
tq_del_06,정비 부품 배송,바 게시판 — 기술 정비 키트를 인접 기지로 전달하라.,delivery,,,3,1250,320,tech,0,,,10,,,,Maintenance Kit Delivery,Bar board — deliver maintenance kits to a linked base.,72
tq_del_07,채굴 회수물 운송,바 게시판 — 채굴 회수 광물을 검사소로 보내라.,delivery,,,3,1300,340,minerals,0,,,10,,,,Mining Recovery Haul,Bar board — send recovered ore to inspection.,72
tq_del_08,고급 물자 특급,바 게시판 — 고급 물자를 연결 거점으로 특송하라.,delivery,,,4,1400,360,luxury,0,,,10,,,,Premium Express Lot,Bar board — express premium goods to a linked hub.,72
tq_cbt_01,해적 전투기 퇴치,바 게시판 — 항로를 어지른 해적 전투기를 격파하라.,combat,,,1,850,210,,0,,,8,,,,Fighter Sweep,Bar board — destroy a pirate fighter harassing the route.,24
tq_cbt_02,경비 순찰 교전,바 게시판 — 순찰 구역의 해적 전투기를 처리하라.,combat,,,2,1050,270,,0,,,9,,,,Patrol Engagement,Bar board — clear a pirate fighter in the patrol lane.,24
tq_cbt_03,순양함 격퇴,바 게시판 — 접근 중인 해적 순양함을 격퇴하라.,combat,,,3,1350,350,,0,,,10,,,,Cruiser Repulsion,Bar board — repel an approaching pirate cruiser.,24
tq_cbt_04,호송로 클리어,바 게시판 — 호송로를 막은 순양함을 제거하라.,combat,,,4,1500,390,,0,,,11,,,,Convoy Lane Clear,Bar board — remove a cruiser blocking the convoy lane.,24
tq_bty_01,현상금 — 도주자 A,바 게시판 — 현상금 사냥꾼을 추적해 제거하라.,combat,,,2,1200,320,,0,,,9,,,,Bounty — Fugitive A,Bar board — track and eliminate a bounty hunter.,24
tq_bty_02,현상금 — 도주자 B,바 게시판 — 현상금 대상을 항로에서 처리하라.,combat,,,3,1400,370,,0,,,10,,,,Bounty — Fugitive B,Bar board — handle a bounty target on the route.,24
tq_bty_03,적색 수배자,바 게시판 — 수배된 현상금 사냥꾼을 격파하라.,combat,,,4,1600,420,,0,,,11,,,,Red Warrant Hunt,Bar board — defeat a wanted bounty hunter.,24
tq_bty_04,암시장 현상금,바 게시판 — 암시장에 출몰한 현상금 사냥꾼을 처리하라.,combat,,,5,1750,460,,0,,,12,,,,Black Market Bounty,Bar board — clear a bounty hunter at the grey market.,24
tq_oth_01,인접 성계 정찰,바 게시판 — 연결된 성계로 이동해 항로 상태를 확인하라.,travel,,,1,800,200,,0,,,7,,,,Linked System Recon,Bar board — travel to a linked system and check the lane.,48
tq_oth_02,미확인 거점 방문,바 게시판 — 인근 거점 행성에 착륙해 상황을 파악하라.,explore,,,1,820,210,,0,,,7,,,,Unknown Outpost Visit,Bar board — land at a nearby outpost and assess conditions.,48
tq_oth_03,함선 정비 부품,바 게시판 — 정비용 기술 부품을 현재 거점에서 확보하라.,trade,,,1,780,190,tech,0,,,7,,,,Hull Repair Parts,Bar board — procure maintenance tech parts at this hub.,48
tq_oth_04,좌표 탐사,바 게시판 — 전달받은 좌표의 행성을 확인하라.,explore,,,2,980,250,,0,,,8,,,,Coordinate Survey,Bar board — verify the planet at the given coordinates.,48
tq_oth_05,선주 접선,바 게시판 — 인근 거점에서 선주와 접선하라.,travel,,,2,900,230,,0,,,8,,,1,Client Rendezvous,Bar board — meet the client captain at a nearby outpost.,48
tq_oth_06,항로 보수 점검,바 게시판 — 연결 항로의 보수 상태를 점검하라.,explore,,,3,1050,280,,0,,,9,,,,Route Maintenance Check,Bar board — inspect maintenance status on a linked route.,48
tq_anom_01,미확인 이상현상,잔해 수색으로 이상현상의 정체를 확인하라.,explore,npc_cpt_anomaly_researcher,,1,1800,450,,0,,,8,,,,Unidentified Anomaly,Confirm the anomaly by salvaging wreckage.,48
