systemId,systemName,systemPosX,systemPosY,systemZone,systemConnectionsPipe,systemEnemyLevel,systemDescription,id,name,description,hasTradePort,hasShipyard,hasTavern,tradeGoodsPipe,factionId,coreResource,corePopulation,coreDefense,coreTechnology,coreEnvironment,backdropImageAssetKey,infoPanelPortraitAssetKey,mainStageSkiaNebulaLayer,mainStageBackdropImageLayer,systemNameEn,systemDescriptionEn,nameEn,descriptionEn
titan_gate,타이탄 게이트,0.60,0.40,neutral,iron_cross|omega_station|helios|shadow_nexus,10,고대 타이탄 종족이 남긴 거대 게이트 유적.,titan_ruins,타이탄 게이트 유적,고대 문명의 흔적. 연구자들이 끊임없이 찾아온다.,false,false,true,,archaeologists,30,40,44,52,46,,,,,Titan Gate,Ruins of a massive gate left by the ancient Titan race.,Titan Gate Ruins,Traces of an ancient civilization. Researchers visit constantly.
perseus,페르세우스,0.78,0.48,neutral,draco_nebula|sirius|helios|crimson_zone,11,영웅들이 이름을 남긴 격전지.,perseus_memorial,페르세우스 메모리얼,[국가: 크림슨 레기온] 과거 영웅들을 기리는 기념 행성.,true,true,true,,veterans,32,42,54,48,44,,,,,Perseus,A fierce battleground where heroes made their names.,Perseus Memorial,[Nation: Crimson Legion] A memorial planet honoring past heroes.
crimson_zone,크림슨 구역,0.82,0.62,pvp,sirius|perseus|dark_rift|blood_field,15,⚠ PvP 구역. 다른 파일럿의 공격에 노출된다.,crimson_base,크림슨 구역 베이스,[국가: 크림슨 레기온] 해적과 용병의 거점. 고위험 고수익.,true,true,true,,pirates,34,38,56,42,34,,,,,Crimson Zone,⚠ PvP zone. You may be attacked by other pilots.,Crimson Zone Base,[Nation: Crimson Legion] Pirate and mercenary stronghold. High risk, high reward.
dark_rift,다크 리프트,0.72,0.28,pvp,shadow_nexus|crimson_zone|abyss,17,⚠ PvP 구역. 공간 왜곡이 심하다.,dark_haven,다크 리프트 헤이븐,[국가: 크림슨 레기온] 왜곡된 공간 속 비밀 기지.,true,false,true,,void_walkers,32,38,48,52,36,,,,,Dark Rift,⚠ PvP zone. Spatial distortion is severe.,Dark Rift Haven,[Nation: Crimson Legion] A secret base inside warped space.
blood_field,블러드 필드,0.88,0.75,pvp,crimson_zone|nightfall,18,⚠ PvP 구역. 이름처럼 잔인한 격전지.,blood_station,블러드 필드 스테이션,[국가: 크림슨 레기온] 전투의 상흔이 가득한 부유 정거장.,true,true,true,,trade_coalition,28,36,58,40,32,,,,,Blood Field,"⚠ PvP zone. A brutal battlefield, as the name suggests.",Blood Field Station,[Nation: Crimson Legion] A floating station filled with scars of battle.
shadow_nexus,섀도우 넥서스,0.65,0.22,pvp,titan_gate|dark_rift|abyss,16,⚠ PvP 구역. 어둠 속의 교차점.,shadow_market,섀도우 넥서스 마켓,불법 거래의 중심지.,true,false,true,,black_market,40,42,46,50,38,,,,,Shadow Nexus,⚠ PvP zone. A crossroads in the dark.,Shadow Nexus Market,Center of illegal trade.
abyss,어비스,0.78,0.18,pvp,dark_rift|shadow_nexus|nightfall|arcfire_core,20,⚠ PvP 구역. 심연의 끝. 여기서 살아남으면 전설이 된다.,abyss_gate,어비스 게이트,[국가: 크림슨 레기온] 최종 구역으로 향하는 마지막 관문.,false,true,true,,unknown,40,34,56,54,32,,,,,Abyss,⚠ PvP zone. Edge of the abyss. Survive here and become legend.,Abyss Gate,[Nation: Crimson Legion] The last gate toward the final zone.
nightfall,나이트폴,0.88,0.30,pvp,blood_field|abyss|genesis,19,⚠ PvP 구역. 영원한 밤이 지배하는 성계.,nightfall_citadel,나이트폴 시타델,[국가: 크림슨 레기온] 어둠의 군주들이 지배하는 요새.,true,true,false,,dark_lords,30,36,52,48,30,,,,,Nightfall,⚠ PvP zone. Eternal night rules this system.,Nightfall Citadel,[Nation: Crimson Legion] A fortress ruled by lords of darkness.
arcfire_core,아크파이어 코어,0.85,0.10,endgame,abyss|eternity,30,★ 크림슨 레기온 수도 성계. 아크파이어 은하 동쪽의 심장부·최종 거점.,core_prime,아크파이어 코어 프라임,[국가: 크림슨 레기온] 수도 행성. 은하 에너지가 모이는 동부 최종 거점.,true,true,true,,ancients,55,46,58,56,48,,,,,Arcfire Core,★ Crimson Legion capital system. Eastern heart of the galaxy.,Arcfire Core Prime,[Nation: Crimson Legion] Capital planet. Final eastern stronghold where galactic energy converges.
eternity,이터니티,0.92,0.18,endgame,arcfire_core|genesis,35,★ 엔드게임. 시간이 멈춘 것 같은 영원의 성계.,eternal_throne,이터니티 스론,은하를 지배했던 고대 제국의 왕좌.,false,true,false,,ancients,58,42,60,58,46,,,,,Eternity,★ Endgame. A system where time seems to stand still.,Eternity Throne,Throne of the ancient empire that once ruled the galaxy.
genesis,제네시스,0.92,0.08,endgame,eternity|nightfall,40,★ 엔드게임. 모든 것의 시작이자 끝. 아크파이어 온라인의 최종 목적지.,genesis_origin,제네시스 오리진,우주의 기원. 여기에 도달한 자는 신화가 된다.,true,true,true,,creators,65,44,62,60,52,,,,,Genesis,★ Endgame. Beginning and end of all things. Arcfire Online's final destination.,Genesis Origin,Origin of the universe. Those who arrive here become myth.
